year_month,product,region,revenue,cost,profit
2014-01,Furniture,Central,76.728,130.4376,-53.7096
2014-01,Furniture,East,9.94,6.858599999999999,3.0814
2014-01,Furniture,South,2625.76,1858.0568000000003,767.7031999999999
2014-01,Office Supplies,Central,324.282,401.8054,-77.5234
2014-01,Office Supplies,East,19.536,14.652000000000001,4.884
2014-01,Office Supplies,South,668.79,382.90170000000006,285.88829999999996
2014-01,Office Supplies,West,19.44,10.1088,9.3312
2014-01,Technology,Central,31.2,21.45,9.75
2014-01,Technology,South,1147.94,830.1566,317.7834
2014-02,Furniture,Central,393.83,325.3371,68.4929
2014-02,Furniture,South,1256.22,1180.8468,75.3732
2014-02,Furniture,West,144.12800000000001,162.88920000000002,-18.761200000000002
2014-02,Office Supplies,Central,150.392,126.8646,23.5274
2014-02,Office Supplies,East,64.96,55.215999999999994,9.744
2014-02,Office Supplies,South,50.796,47.6138,3.1822
2014-02,Office Supplies,West,243.846,155.3369,88.5091
2014-02,Technology,Central,468.9,262.58399999999995,206.316
2014-02,Technology,East,115.36,65.7552,49.6048
2014-02,Technology,South,721.97,521.1859,200.7841
2014-03,Furniture,Central,1436.4270000000001,1686.5274,-250.1004
2014-03,Furniture,East,310.77,508.099,-197.32899999999998
2014-03,Furniture,West,2050.904,1941.4241,109.4799
2014-03,Office Supplies,Central,502.368,963.174,-460.806
2014-03,Office Supplies,East,607.032,403.9219,203.11010000000002
2014-03,Office Supplies,South,551.608,482.94599999999997,68.662
2014-03,Office Supplies,West,1321.634,1273.4508,48.1832
2014-03,Technology,East,647.1,431.18190000000004,215.91809999999998
2014-03,Technology,South,620.9300000000001,442.1256,178.8044
2014-04,Furniture,Central,5.47,3.1178999999999997,2.3521
2014-04,Furniture,East,326.874,457.64610000000005,-130.7721
2014-04,Furniture,South,1402.5600000000002,1037.4464,365.1136
2014-04,Furniture,West,1186.711,1062.7186,123.9924
2014-04,Office Supplies,Central,1044.306,926.6551,117.65090000000001
2014-04,Office Supplies,East,183.89399999999998,189.6452,-5.751199999999995
2014-04,Office Supplies,South,4972.55,4645.5609,326.9891
2014-04,Office Supplies,West,520.97,359.0863,161.8837
2014-04,Technology,Central,758.352,492.92879999999997,265.4232
2014-04,Technology,East,116.784,94.887,21.897
2014-04,Technology,South,2729.7400000000002,2046.7437000000002,682.9962999999999
2014-04,Technology,West,2792.6,2205.578,587.0219999999999
2014-05,Furniture,Central,1441.731,1593.6843999999999,-151.9534
2014-05,Furniture,East,2144.051,2275.7545,-131.70350000000002
2014-05,Furniture,West,268.964,232.96839999999997,35.995599999999996
2014-05,Office Supplies,Central,278.972,405.7978,-126.82579999999999
2014-05,Office Supplies,East,160.218,114.3333,45.8847
2014-05,Office Supplies,South,246.57,156.0898,90.4802
2014-05,Office Supplies,West,551.266,338.77049999999997,212.4955
2014-05,Technology,Central,205.768,184.5891,21.1789
2014-05,Technology,East,1799.97,1559.974,239.996
2014-05,Technology,South,479.984,389.98699999999997,89.997
2014-05,Technology,West,1711.37,1537.3292000000001,174.0408
2014-06,Furniture,Central,2332.339,2001.5725,330.7665
2014-06,Furniture,East,1416.252,1779.7894,-363.5374
2014-06,Furniture,South,1633.8519999999999,1369.0819999999999,264.77
2014-06,Furniture,West,2967.196,2644.8218,322.3742
2014-06,Office Supplies,Central,2824.9539999999997,1922.4229,902.5311
2014-06,Office Supplies,East,2291.8680000000004,2007.7577,284.1103
2014-06,Office Supplies,South,428.881,297.5746,131.3064
2014-06,Office Supplies,West,328.15200000000004,214.62310000000002,113.5289
2014-06,Technology,Central,71.976,60.979200000000006,10.996799999999999
2014-06,Technology,South,1121.8999999999999,825.4066,296.49339999999995
2014-06,Technology,West,1818.576,1659.504,159.072
2014-07,Furniture,Central,512.358,526.9967999999999,-14.6388
2014-07,Furniture,East,1284.126,1042.2776000000001,241.84840000000003
2014-07,Furniture,South,232.73600000000002,211.3768,21.3592
2014-07,Furniture,West,1922.289,1958.9334,-36.6444
2014-07,Office Supplies,Central,614.952,659.4664,-44.514399999999995
2014-07,Office Supplies,East,264.58,142.5794,122.0006
2014-07,Office Supplies,South,90.862,66.209,24.653000000000002
2014-07,Office Supplies,West,997.2460000000001,694.5896,302.6564
2014-07,Technology,Central,599.808,553.3324,46.4756
2014-07,Technology,East,996.7919999999999,696.6021,300.18989999999997
2014-07,Technology,South,1055.8899999999999,820.7102,235.1798
2014-07,Technology,West,255.936,227.1432,28.7928
2014-08,Furniture,Central,543.11,478.54640000000006,64.5636
2014-08,Furniture,East,1133.35,838.6789999999999,294.671
2014-08,Furniture,South,199.584,195.22159999999997,4.362399999999999
2014-08,Furniture,West,1105.82,1120.6508,-14.830799999999982
2014-08,Office Supplies,Central,1070.955,777.5604,293.39459999999997
2014-08,Office Supplies,East,1202.54,849.1197999999999,353.4202
2014-08,Office Supplies,South,487.176,398.6022,88.5738
2014-08,Office Supplies,West,4699.853,3238.3989,1461.4541
2014-08,Technology,Central,871.1700000000001,503.06460000000004,368.10540000000003
2014-08,Technology,East,591.39,365.95889999999997,225.43110000000001
2014-08,Technology,South,672.832,488.02819999999997,184.8038
2014-08,Technology,West,4274.904,3683.5721,591.3319
2014-09,Furniture,Central,4419.545,4073.7173,345.82769999999994
2014-09,Furniture,East,5190.058,4436.0359,754.0221
2014-09,Furniture,South,31.984,29.985000000000003,1.999
2014-09,Furniture,West,2632.79,2328.1993,304.59069999999997
2014-09,Office Supplies,Central,2053.558,2860.9409,-807.3829
2014-09,Office Supplies,East,2212.08,1830.6008,381.4792
2014-09,Office Supplies,South,2025.828,1133.9355,891.8925
2014-09,Office Supplies,West,1145.836,899.8157,246.0203
2014-09,Technology,Central,9985.272,11257.2969,-1272.0249
2014-09,Technology,East,1437.1019999999999,1831.7866,-394.68459999999993
2014-09,Technology,South,1642.026,2078.397,-436.371
2014-09,Technology,West,49.98,41.483399999999996,8.4966
2014-10,Furniture,Central,290.055,379.22489999999993,-89.1699
2014-10,Furniture,East,719.3299999999999,704.7669999999999,14.562999999999999
2014-10,Furniture,South,8.92,4.9952000000000005,3.9248
2014-10,Furniture,West,932.046,943.4098,-11.363800000000007
2014-10,Office Supplies,Central,570.39,520.3299,50.060100000000006
2014-10,Office Supplies,East,871.824,743.9601,127.8639
2014-10,Office Supplies,South,163.838,124.2515,39.5865
2014-10,Office Supplies,West,677.836,435.5682,242.2678
2014-10,Technology,Central,1475.896,1337.7557000000002,138.1403
2014-10,Technology,East,244.482,319.43999999999994,-74.958
2014-10,Technology,South,23.472,18.4842,4.9878
2014-10,Technology,West,1025.998,805.9162,220.0818
2014-11,Furniture,Central,2149.1332,2121.2135,27.919699999999995
2014-11,Furniture,East,1201.622,1382.6750000000002,-181.053
2014-11,Furniture,South,1505.288,1815.3703999999998,-310.0824
2014-11,Furniture,West,2290.486,2178.0348,112.4512
2014-11,Office Supplies,Central,3127.66,4205.1859,-1077.5258999999999
2014-11,Office Supplies,East,2720.752,2437.5163,283.2357
2014-11,Office Supplies,South,446.557,340.322,106.235
2014-11,Office Supplies,West,4163.8,3039.7824,1124.0176000000001
2014-11,Technology,Central,775.8979999999999,670.9902,104.90780000000001
2014-11,Technology,East,6112.052000000001,3794.6202,2317.4318
2014-11,Technology,South,1826.55,1460.2059,366.3441
2014-11,Technology,West,6283.484,5442.9715,840.5125
2014-12,Furniture,Central,3829.92,3363.683,466.237
2014-12,Furniture,East,2157.988,2211.7758,-53.78779999999999
2014-12,Furniture,West,6090.8825,5887.6079,203.27460000000002
2014-12,Office Supplies,Central,717.446,1099.5432,-382.09720000000004
2014-12,Office Supplies,East,1060.876,794.989,265.887
2014-12,Office Supplies,South,211.0,127.0752,83.9248
2014-12,Office Supplies,West,3627.966,2811.9451,816.0209
2014-12,Technology,Central,923.744,719.7237,204.0203
2014-12,Technology,East,2598.282,2192.4825,405.7995
2014-12,Technology,South,101.918,91.4882,10.4298
2014-12,Technology,West,324.568,260.01099999999997,64.557
2015-01,Furniture,Central,1352.3976,1789.938,-437.5404
2015-01,Furniture,East,1470.554,2088.1818000000003,-617.6278
2015-01,Furniture,South,192.22,123.0208,69.1992
2015-01,Furniture,West,61.584,68.5122,-6.9282
2015-01,Office Supplies,Central,89.664,49.76820000000001,39.895799999999994
2015-01,Office Supplies,East,704.796,510.6032,194.1928
2015-01,Office Supplies,South,364.07,232.9903,131.0797
2015-01,Office Supplies,West,175.058,126.0274,49.0306
2015-01,Technology,Central,398.4,313.74,84.66
2015-01,Technology,East,1719.632,2739.9458,-1020.3137999999999
2015-02,Furniture,Central,69.184,88.696,-19.512
2015-02,Furniture,East,1643.6219999999998,1279.686,363.936
2015-02,Furniture,West,340.84,276.823,64.017
2015-02,Office Supplies,Central,734.8919999999999,844.2912999999999,-109.39930000000001
2015-02,Office Supplies,East,82.91999999999999,73.4352,9.4848
2015-02,Office Supplies,South,575.26,371.25509999999997,204.0049
2015-02,Office Supplies,West,17.424,11.7942,5.6298
2015-02,Technology,Central,669.25,517.3688,151.8812
2015-02,Technology,East,107.982,134.9775,-26.9955
2015-03,Furniture,Central,2979.6603999999998,2648.7219999999998,330.9384
2015-03,Furniture,East,516.547,465.1653,51.3817
2015-03,Furniture,South,37.288,31.9862,5.3018
2015-03,Furniture,West,1407.542,1167.1880999999998,240.3539
2015-03,Office Supplies,Central,512.43,927.0377,-414.60769999999997
2015-03,Office Supplies,East,807.828,644.2444,163.5836
2015-03,Office Supplies,South,77.056,43.678200000000004,33.3778
2015-03,Office Supplies,West,3.408,2.5134,0.8946
2015-03,Technology,Central,1395.03,1075.6194,319.4106
2015-03,Technology,East,1184.29,1055.5653,128.7247
2015-03,Technology,West,1135.9679999999998,756.7746,379.1934
2015-04,Furniture,East,1015.5699999999999,1270.298,-254.728
2015-04,Furniture,South,121.888,97.4704,24.4176
2015-04,Furniture,West,1262.136,1186.7853,75.35069999999999
2015-04,Office Supplies,Central,1233.836,2414.3034000000002,-1180.4674
2015-04,Office Supplies,East,1810.47,1409.7193,400.7507
2015-04,Office Supplies,South,205.746,305.27779999999996,-99.53179999999999
2015-04,Office Supplies,West,130.172,94.72739999999999,35.4446
2015-04,Technology,Central,1118.4660000000001,854.408,264.058
2015-04,Technology,East,163.968,131.5201,32.447900000000004
2015-04,Technology,West,1039.684,740.0844999999999,299.59950000000003
2015-05,Furniture,Central,412.222,457.2798,-45.0578
2015-05,Furniture,East,1086.472,1057.0504,29.4216
2015-05,Furniture,South,63.552,49.2528,14.2992
2015-05,Furniture,West,857.848,734.51,123.33800000000001
2015-05,Office Supplies,Central,430.36,511.11409999999995,-80.7541
2015-05,Office Supplies,East,638.46,577.7834,60.6766
2015-05,Office Supplies,South,308.57,248.19150000000002,60.378499999999995
2015-05,Office Supplies,West,277.648,182.44420000000002,95.2038
2015-05,Technology,Central,2101.842,1794.2049000000002,307.63710000000003
2015-05,Technology,East,2827.496,1812.8607000000002,1014.6353
2015-05,Technology,West,676.984,526.264,150.72
2015-06,Furniture,East,1601.214,1415.7071999999998,185.5068
2015-06,Furniture,South,1374.96,1494.0399,-119.07990000000001
2015-06,Furniture,West,355.36,262.9664,92.3936
2015-06,Office Supplies,Central,671.766,848.5286000000001,-176.7626
2015-06,Office Supplies,East,133.324,108.81060000000001,24.5134
2015-06,Office Supplies,South,2848.748,2748.3734,100.3746
2015-06,Office Supplies,West,35.92,21.0012,14.918800000000001
2015-06,Technology,Central,344.25600000000003,247.78710000000004,96.4689
2015-06,Technology,South,431.868,394.4357,37.4323
2015-06,Technology,West,1250.326,809.5705,440.7555
2015-07,Furniture,Central,1181.905,1288.1533,-106.24829999999999
2015-07,Furniture,East,1961.52,1854.0076,107.5124
2015-07,Furniture,South,240.676,188.275,52.401
2015-07,Furniture,West,170.352,187.3872,-17.0352
2015-07,Office Supplies,Central,645.648,780.4677,-134.81969999999998
2015-07,Office Supplies,East,1550.9579999999999,1012.0331,538.9249
2015-07,Office Supplies,South,358.892,204.4051,154.48690000000002
2015-07,Office Supplies,West,194.45600000000002,128.3907,66.06530000000001
2015-07,Technology,Central,2752.32,2315.7176,436.6024
2015-07,Technology,East,1610.702,1162.9742,447.7278
2015-07,Technology,South,74.24,65.88799999999999,8.352
2015-08,Furniture,Central,1906.7492,1813.0782,93.67099999999999
2015-08,Furniture,East,557.006,668.88,-111.874
2015-08,Furniture,South,46.152,34.0371,12.1149
2015-08,Furniture,West,1427.26,1780.972,-353.712
2015-08,Office Supplies,Central,375.83,273.921,101.90899999999999
2015-08,Office Supplies,East,2364.178,1467.9883,896.1897
2015-08,Office Supplies,South,29.668,16.2194,13.4486
2015-08,Office Supplies,West,182.904,149.8401,33.0639
2015-08,Technology,East,2082.55,1533.0043,549.5457
2015-08,Technology,South,494.97,346.47900000000004,148.491
2015-08,Technology,West,1136.712,1087.9622,48.7498
